,Item Name,ItemID,Sale Price,Customer Ratings,Number of Reviews,Offer Type,Department,Shipping Rate,Normal Shipping,Marketplace
2127,Just My Size Women's Plus-Size Short Sleeve Tee,47522955,7.5,3.233,90,ONLINE_ONLY,Clothing,5.99,False,False
2128,Just My Size by Hanes Women's Plus Size Short Sleeve V-Neck T Shirt,47523045,7.68,3.659,164,ONLINE_ONLY,Clothing,5.99,True,False
2129,Just My Size Women's Plus Printed Scoopneck T-shirt,55211341,6.5,3.438,128,ONLINE_AND_STORE,Clothing,5.99,True,False
2130,Hanes Young Men's Solid Short Sleeve Nano Tee,22659852,5.5,3.926,148,ONLINE_ONLY,Clothing,5.99,False,False
2131,XYZprinting da Vinci miniMaker 3D Printer,55126285,179.95,4.714,7,ONLINE_ONLY,Electronics,0.0,False,False
2132,DA Vinci mini 3D Printer,54598315,289.95,4.75,4,ONLINE_ONLY,Electronics,0.0,True,False
2133,"Avia Stride App-Based Activity/Fitness Tracker, Black",47347638,46.21,1.0,1,ONLINE_AND_STORE,Electronics,0.0,False,False
2134,"Jawbone UP, Onyx",36268336,46.66,2.5,4,ONLINE_AND_STORE,Electronics,0.0,False,False
2135,"Garmin vivofit 3 Activity Tracker, X-large Fit, Black",50136260,55.78,4.0,2,ONLINE_ONLY,Electronics,0.0,True,False
2136,"LAX Gadgets Extra Long, Apple MFi Certified Nylon Lightning to USB iPhone Charger Cable for iPhone 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE, 5s / iPad Pro, Air, Mini, iPad / iPod | 10 Ft Cord, Gold",137057830,19.82,4.206,34,ONLINE_ONLY,Cell Phones,5.99,False,False
2137,Apple iPad Air 2 9.7-inch 32GB Wi-Fi,54594230,375.0,4.64,25,ONLINE_AND_STORE,Electronics,0.0,False,False
2138,"Straight Talk Prepaid Apple iPhone 6 32GB, Space Gray",329264833,199.0,4.147,109,ONLINE_AND_STORE,Cell Phones,0.0,True,False
2139,Apple iPhone 6 16GB Unlocked GSM Phone w/ 8MP Camera - Space Gray,54050942,264.34,2.875,8,ONLINE_ONLY,Cell Phones,0.0,True,False
2140,"AT PREPAID Apple iPhone 6 32GB Prepaid Smartphone, Silver",267559653,165.71,4.375,8,ONLINE_AND_STORE,Cell Phones,0.0,False,False
2141,Apple iPhone 6 Plus 16GB Unlocked GSM Phone w/ 8MP Camera - Gold,46549659,354.0,1.0,4,ONLINE_ONLY,Cell Phones,0.0,False,False
2142,Apple Watch Series 3 (GPS + Cellular) Aluminum Case with Sport Band - 42mm,533481894,429.0,4.833,12,ONLINE_AND_STORE,Electronics,0.0,True,False
2143,Apple Watch Series 3 (GPS + Cellular) Aluminum Case with Sport Band - 38mm,134654904,399.0,4.833,12,ONLINE_AND_STORE,Electronics,0.0,True,False
